LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion
54,CHN,China,SiChuan,539,3,516,30.6171,102.7103,77861826,444951.0129,6.92
66,CHN,China,TianJin,136,3,133,39.3054,117.323,16504083,10886.5535,8.24
76,CHN,China,XiZangZiZhiQu,1,0,1,31.6927,88.0924,3356750,746564.2498,0.3
71,CHN,China,XinJiangWeiWuErZiZhiQu,76,3,73,41.1129,85.2401,25255370,751052.338,3.01
62,CHN,China,YunNan,174,2,172,24.974,101.487,48474500,382853.7213,3.59
47,CHN,China,ZheJiang,1231,1,1211,29.1832,120.0934,62703652,101922.6929,19.63
65,HKG,"China, Hong Kong Special Administrative Region",,145,4,81,22.3,114.2,7557182,1113.74334,19.19
75,MAC,"China, Macao Special Administrative Region",,10,0,10,22.1667,113.55,633520,25.29560486,15.78
77,COL,Colombia,,34,0,0,4.5709,-74.2973,50228930,1132589.044,0.68
78,COG,Congo,,1,0,0,-4.0383,21.7587,5263341,340938.8463,0.19
80,CRI,Costa Rica,,27,0,0,9.7489,-83.7534,5043685,51343.38011,5.35
81,CIV,Cote d'Ivoire,,1,0,0,7.54,-5.5471,25565548,321202.3334,0.04
82,HRV,Croatia,,49,0,1,45.1,15.2,4162495,56550.3952,11.77
83,,Cruise Ship,Diamond Princess,696,7,325,35.4498,139.6649,.,.,.
84,CUB,Cuba,,4,0,0,21.5218,-77.7812,11365570,109801.0609,0.35
85,CUW,Curacao,,1,0,0,12.1696,-68.99,163760,436.5572133,6.11
86,CYP,Cyprus,,26,0,0,35.1264,33.4299,1218242,9274.198744,21.34
87,CZE,Czech Republic,,253,0,0,49.8175,15.473,10573280,78145.39372,23.93
79,COD,Democratic Republic of the Congo,,3,0,0,-4.0383,21.7587,90169369,2303597.814,0.03
88,DNK,Denmark,,864,2,1,56.2639,9.5018,5775666,42644.48353,149.59
90,DOM,Dominican Republic,,11,0,0,18.7357,-70.1627,11106603,47929.00431,0.99
91,ECU,Ecuador,,28,2,0,-1.8312,-78.1834,17338405,255640.6054,1.61
92,EGY,Egypt,,110,2,21,26.8206,30.8025,100517804,994457.1032,1.09
93,GNQ,Equatorial Guinea,,1,0,0,1.5,10,970827,27091.50786,1.03
94,EST,Estonia,,171,0,1,58.5953,25.0136,1295114,43138.71041,132.03
96,ETH,Ethiopia,,1,0,0,9.145,40.4897,111971077,1131068.274,0.01
89,FRO,Faeroe Islands,,11,0,0,61.8926,-6.9118,48757,1391.87203,225.61
97,FIN,Finland,,244,0,10,61.9241,25.7482,5554884,305154.1875,43.93
98,FRA,France,,4499,91,12,46.2276,2.2137,65719957,546119.2673,68.46
99,GUF,French Guiana,,7,0,0,3.9339,-53.1258,304198,83407.73295,23.01
100,PYF,French Polynesia,,3,0,0,-17.6797,-149.4068,296263,4135.217608,10.13
104,GAB,Gabon,,1,0,0,-0.8037,11.6094,1917170,263732.7194,0.52
105,GEO,Georgia,,33,0,0,42.3154,43.3569,3977027,69277.05735,8.3
106,DEU,Germany,,5795,11,46,51.1657,10.4515,80392287,353564.8548,72.08
107,GHA,Ghana,,6,0,0,7.9465,-1.0232,30530454,233507.2617,0.2
196,GIB,Gibraltar,,1,0,1,36.1408,-5.3536,32610,7.222942253,30.67
108,GRC,Greece,,331,4,8,39.0742,21.8243,10825393,131714.44,30.58
109,GLP,Guadeloupe,,3,0,0,16.265,-61.551,419071,1659.271598,7.16
247,GUM,Guam,,3,0,0,13.4443,144.7937,180367,552.4462017,16.63
110,GTM,Guatemala,,1,0,0,15.7835,-90.2308,18014914,108496.35,0.06
111,GGY,Guernsey,,1,0,0,49.45,-2.58,62966,88.35966097,15.88
112,GIN,Guinea,,1,0,0,9.9456,-9.6966,14354833,245768.0634,0.07
113,GUY,Guyana,,4,1,0,4.8604,-58.9302,786794,210213.5602,5.08
114,VAT,Holy See,,1,0,0,41.9029,12.4534,804,0.528731019,1243.78
115,HND,Honduras,,3,0,0,15.2,-86.2419,8650580,112068.3951,0.35
116,HUN,Hungary,,32,1,1,47.1625,19.5033,9684953,91675.36334,3.3
117,ISL,Iceland,,171,5,8,64.9631,-19.0208,342143,88938.9154,499.79
118,IND,India,,113,2,13,20.5937,78.9629,1388858472,3129067.304,0.08
119,IDN,Indonesia,,117,5,8,-0.7893,113.9213,271857452,1889536.111,0.43
120,IRN,Iran (Islamic Republic of),,13938,724,4590,32.4279,53.688,83403272,1617546.572,167.12
121,IRQ,Iraq,,116,10,26,33.2232,43.6793,41972385,441034.763,2.76
122,IRL,Ireland,,129,2,0,53.1424,-7.6921,4874303,69000.77784,26.47
123,ISR,Israel,,251,0,4,31.0461,34.8516,8718238,21987.34974,28.79
124,ITA,Italy,,24747,1809,2335,41.8719,12.5674,59742681,298133.0954,414.23
125,JAM,Jamaica,,10,0,0,18.1096,-77.2975,2840110,11036.57031,3.52
126,JPN,Japan,,839,22,118,36.2048,138.2529,125039022,370379.427,6.71
127,JEY,Jersey,,2,0,0,49.19,-2.11,104525,125.0344982,19.13
195,JEY,Jersey,,3,0,0,49.3723,-2.3644,104525,125.0344982,28.7
128,JOR,Jordan,,8,0,1,30.5852,36.2384,8166792,88939.6342,0.98
129,KAZ,Kazakhstan,,9,0,0,48.0196,66.9237,18616175,2644303.238,0.48
130,KEN,Kenya,,3,0,0,-0.0236,37.9062,52186713,583503.426,0.06
132,KOS,Kosovo,,2,0,0,42.6026,20.903,2031990,11140.51016,0.98
133,KWT,Kuwait,,112,0,5,29.3117,47.4818,4316619,17446.85886,25.95
134,LVA,Latvia,,30,0,1,56.8796,24.6032,1918949,63487.11377,15.63
135,LBN,Lebanon,,110,3,1,33.8547,35.8623,5891496,10440.77689,18.67
136,LIE,Liechtenstein,,4,0,0,47.166,9.5554,38755,161.959544,103.21
137,LTU,Lithuania,,12,0,1,55.1694,23.8813,2794899,63830.94459,4.29
138,LUX,Luxembourg,,59,1,0,49.8153,6.1296,605113,2559.008794,97.5
139,MYS,Malaysia,,428,0,42,4.2105,101.9758,32374467,329838.5422,13.22
140,MDV,Maldives,,13,0,0,3.2028,73.2207,393086,301.3183626,33.07
141,MLT,Malta,,21,0,1,35.9375,14.3754,422962,326.037548,49.65
142,MTQ,Martinique,,9,0,0,14.6415,-61.0242,394778,1123.325184,22.8
143,MRT,Mauritania,,1,0,0,21.0079,-10.9408,4573162,1046076.654,0.22
102,MYT,Mayotte,,1,0,0,-12.8275,45.1662,273169,393.2550296,3.66
144,MEX,Mexico,,41,0,4,23.6345,-102.5528,134837159,1950037.444,0.3
146,MCO,Monaco,,2,0,0,43.7384,7.4246,38484,2.355457289,51.97
147,MNG,Mongolia,,1,0,0,46.8625,103.8467,3178902,1550569.748,0.31
148,MAR,Morocco,,28,1,1,31.7917,-7.0926,36444326,414274.0756,0.77
149,NAM,Namibia,,2,0,0,-22.9576,18.4904,2731167,827608.6957,0.73
150,NPL,Nepal,,1,0,1,28.3949,84.124,30184338,143459.993,0.03
151,NLD,Netherlands,,1135,20,2,52.1326,5.2913,17185104,34587.95253,66.05
152,NZL,New Zealand,,8,0,0,-40.9006,174.886,4729710,273711.666,1.69
153,NGA,Nigeria,,2,0,0,9.082,8.6753,206831006,907439.4178,0.01
155,NOR,Norway,,1221,3,1,60.472,8.4689,5490399,308496.3108,222.39
